"Points:0","Points:1","Points:2"
3.8423e+06,1.6776e+05,0
3.8673e+06,1.6885e+05,0
3.8923e+06,1.6994e+05,0
3.9173e+06,1.7103e+05,0
3.9422e+06,1.7212e+05,0
3.9672e+06,1.7321e+05,0
3.9922e+06,1.743e+05,0
4.0172e+06,1.7539e+05,0
4.0421e+06,1.7648e+05,0
4.0671e+06,1.7757e+05,0
4.0921e+06,1.7867e+05,0
4.1171e+06,1.7976e+05,0
4.1421e+06,1.8085e+05,0
4.167e+06,1.8194e+05,0
4.192e+06,1.8303e+05,0
4.217e+06,1.8412e+05,0
4.242e+06,1.8521e+05,0
4.2669e+06,1.863e+05,0
4.2919e+06,1.8739e+05,0
4.3169e+06,1.8848e+05,0
4.3419e+06,1.8957e+05,0
4.3668e+06,1.9066e+05,0
4.3918e+06,1.9175e+05,0
4.4168e+06,1.9284e+05,0
4.4418e+06,1.9393e+05,0
4.4667e+06,1.9502e+05,0
4.4917e+06,1.9611e+05,0
4.5167e+06,1.972e+05,0
4.5417e+06,1.9829e+05,0
4.5666e+06,1.9938e+05,0
4.5916e+06,2.0047e+05,0
4.6166e+06,2.0157e+05,0
4.6416e+06,2.0266e+05,0
4.6666e+06,2.0375e+05,0
4.6915e+06,2.0484e+05,0
4.7165e+06,2.0593e+05,0
4.7415e+06,2.0702e+05,0
4.7665e+06,2.0811e+05,0
4.7914e+06,2.092e+05,0
4.8164e+06,2.1029e+05,0
4.8414e+06,2.1138e+05,0
4.8664e+06,2.1247e+05,0
4.8913e+06,2.1356e+05,0
4.9163e+06,2.1465e+05,0
4.9413e+06,2.1574e+05,0
4.9663e+06,2.1683e+05,0
4.9912e+06,2.1792e+05,0
5.0162e+06,2.1901e+05,0
5.0412e+06,2.201e+05,0
5.0662e+06,2.2119e+05,0
5.0911e+06,2.2228e+05,0
5.1161e+06,2.2337e+05,0
5.1411e+06,2.2447e+05,0
5.1661e+06,2.2556e+05,0
5.1911e+06,2.2665e+05,0
5.216e+06,2.2774e+05,0
5.241e+06,2.2883e+05,0
5.266e+06,2.2992e+05,0
5.291e+06,2.3101e+05,0
5.3159e+06,2.321e+05,0
5.3409e+06,2.3319e+05,0
5.3659e+06,2.3428e+05,0
5.3909e+06,2.3537e+05,0
5.4158e+06,2.3646e+05,0
5.4408e+06,2.3755e+05,0
5.4658e+06,2.3864e+05,0
5.4908e+06,2.3973e+05,0
5.5157e+06,2.4082e+05,0
5.5407e+06,2.4191e+05,0
5.5657e+06,2.43e+05,0
5.5907e+06,2.4409e+05,0
5.6156e+06,2.4518e+05,0
5.6406e+06,2.4628e+05,0
5.6656e+06,2.4737e+05,0
5.6906e+06,2.4846e+05,0
5.7156e+06,2.4955e+05,0
5.7405e+06,2.5064e+05,0
5.7655e+06,2.5173e+05,0
5.7905e+06,2.5282e+05,0
5.8155e+06,2.5391e+05,0
5.8404e+06,2.55e+05,0
5.8654e+06,2.5609e+05,0
5.8904e+06,2.5718e+05,0
5.9154e+06,2.5827e+05,0
