#Normals:0,Normals:1,Normals:2,x,y,z
0.93792,-0.26894,0.21905,5.7879e+06,-1.6596e+06,1.3517e+06
0.94082,-0.26978,0.20512,5.8058e+06,-1.6648e+06,1.2658e+06
0.94354,-0.27055,0.19116,5.8226e+06,-1.6696e+06,1.1796e+06
0.94606,-0.27128,0.17715,5.8381e+06,-1.6741e+06,1.0932e+06
0.94839,-0.27195,0.16312,5.8525e+06,-1.6782e+06,1.0066e+06
0.95053,-0.27256,0.14904,5.8657e+06,-1.682e+06,9.1974e+05
0.95247,-0.27312,0.13494,5.8777e+06,-1.6854e+06,8.3271e+05
0.95422,-0.27362,0.12081,5.8885e+06,-1.6885e+06,7.4551e+05
0.95578,-0.27407,0.10665,5.8981e+06,-1.6913e+06,6.5816e+05
0.95714,-0.27446,0.092477,5.9065e+06,-1.6937e+06,5.7068e+05
0.95831,-0.27479,0.078282,5.9137e+06,-1.6957e+06,4.8308e+05
0.95929,-0.27507,0.06407,5.9198e+06,-1.6975e+06,3.9538e+05
0.96007,-0.27529,0.049846,5.9246e+06,-1.6988e+06,3.076e+05
0.96065,-0.27546,0.035611,5.9282e+06,-1.6999e+06,2.1976e+05
0.96104,-0.27557,0.02137,5.9306e+06,-1.7006e+06,1.3187e+05
0.96124,-0.27563,0.0071237,5.9318e+06,-1.7009e+06,43961
0.96124,-0.27563,-0.0071237,5.9318e+06,-1.7009e+06,-43961
0.96104,-0.27557,-0.02137,5.9306e+06,-1.7006e+06,-1.3187e+05
0.96065,-0.27546,-0.035611,5.9282e+06,-1.6999e+06,-2.1976e+05
0.96007,-0.27529,-0.049846,5.9246e+06,-1.6988e+06,-3.076e+05
0.95929,-0.27507,-0.06407,5.9198e+06,-1.6975e+06,-3.9538e+05
0.95831,-0.27479,-0.078282,5.9137e+06,-1.6957e+06,-4.8308e+05
0.95714,-0.27446,-0.092477,5.9065e+06,-1.6937e+06,-5.7068e+05
0.95578,-0.27407,-0.10665,5.8981e+06,-1.6913e+06,-6.5816e+05
0.95422,-0.27362,-0.12081,5.8885e+06,-1.6885e+06,-7.4551e+05
0.95247,-0.27312,-0.13494,5.8777e+06,-1.6854e+06,-8.3271e+05
0.95053,-0.27256,-0.14904,5.8657e+06,-1.682e+06,-9.1974e+05
0.94839,-0.27195,-0.16312,5.8525e+06,-1.6782e+06,-1.0066e+06
0.94606,-0.27128,-0.17715,5.8381e+06,-1.6741e+06,-1.0932e+06
0.94354,-0.27055,-0.19116,5.8226e+06,-1.6696e+06,-1.1796e+06
0.94082,-0.26978,-0.20512,5.8058e+06,-1.6648e+06,-1.2658e+06
0.93792,-0.26894,-0.21905,5.7879e+06,-1.6596e+06,-1.3517e+06
0.93482,-0.26806,-0.23293,5.7688e+06,-1.6542e+06,-1.4374e+06
0.93154,-0.26711,-0.24676,5.7485e+06,-1.6484e+06,-1.5227e+06
0.92806,-0.26612,-0.26054,5.7271e+06,-1.6422e+06,-1.6078e+06
0.9244,-0.26507,-0.27427,5.7045e+06,-1.6357e+06,-1.6925e+06
0.92055,-0.26396,-0.28794,5.6807e+06,-1.6289e+06,-1.7769e+06
0.91651,-0.26281,-0.30155,5.6558e+06,-1.6218e+06,-1.8609e+06
0.91229,-0.2616,-0.31511,5.6297e+06,-1.6143e+06,-1.9445e+06
0.90788,-0.26033,-0.3286,5.6025e+06,-1.6065e+06,-2.0278e+06
0.90329,-0.25901,-0.34202,5.5742e+06,-1.5984e+06,-2.1106e+06
0.90682,-0.24638,0.34202,5.596e+06,-1.5204e+06,2.1106e+06
0.91143,-0.24763,0.3286,5.6244e+06,-1.5281e+06,2.0278e+06
0.91585,-0.24883,0.31511,5.6517e+06,-1.5355e+06,1.9445e+06
0.92009,-0.24998,0.30155,5.6779e+06,-1.5427e+06,1.8609e+06
0.92415,-0.25109,0.28794,5.7029e+06,-1.5494e+06,1.7769e+06
0.92801,-0.25214,0.27427,5.7268e+06,-1.5559e+06,1.6925e+06
0.93169,-0.25313,0.26054,5.7494e+06,-1.5621e+06,1.6078e+06
0.93518,-0.25408,0.24676,5.771e+06,-1.5679e+06,1.5227e+06
0.93847,-0.25498,0.23293,5.7913e+06,-1.5735e+06,1.4374e+06
0.94158,-0.25582,0.21905,5.8105e+06,-1.5787e+06,1.3517e+06
0.9445,-0.25661,0.20512,5.8285e+06,-1.5836e+06,1.2658e+06
0.94722,-0.25735,0.19116,5.8453e+06,-1.5881e+06,1.1796e+06
0.94975,-0.25804,0.17715,5.8609e+06,-1.5924e+06,1.0932e+06
0.95209,-0.25868,0.16312,5.8754e+06,-1.5963e+06,1.0066e+06
0.95424,-0.25926,0.14904,5.8886e+06,-1.5999e+06,9.1974e+05
0.95619,-0.25979,0.13494,5.9007e+06,-1.6032e+06,8.3271e+05
0.95795,-0.26027,0.12081,5.9115e+06,-1.6061e+06,7.4551e+05
0.95951,-0.26069,0.10665,5.9212e+06,-1.6087e+06,6.5816e+05
0.96088,-0.26107,0.092477,5.9296e+06,-1.611e+06,5.7068e+05
0.96206,-0.26138,0.078282,5.9368e+06,-1.613e+06,4.8308e+05
0.96303,-0.26165,0.06407,5.9429e+06,-1.6146e+06,3.9538e+05
0.96382,-0.26186,0.049846,5.9477e+06,-1.616e+06,3.076e+05
0.9644,-0.26202,0.035611,5.9513e+06,-1.6169e+06,2.1976e+05
0.9648,-0.26213,0.02137,5.9538e+06,-1.6176e+06,1.3187e+05
0.96499,-0.26218,0.0071237,5.955e+06,-1.6179e+06,43961
0.96499,-0.26218,-0.0071237,5.955e+06,-1.6179e+06,-43961
0.9648,-0.26213,-0.02137,5.9538e+06,-1.6176e+06,-1.3187e+05
0.9644,-0.26202,-0.035611,5.9513e+06,-1.6169e+06,-2.1976e+05
0.96382,-0.26186,-0.049846,5.9477e+06,-1.616e+06,-3.076e+05
